dia,mes,ano,horario,temperatureInterna,temperatureExterna,temperatureReferencia,acionamentoVentoinha,acionamentoResistor
06,02,2022,07:02:26,29.75,26.66,25.00,100.00,0.00
06,02,2022,07:02:27,29.75,26.66,25.00,100.00,0.00
06,02,2022,07:02:28,29.75,26.66,25.00,100.00,0.00
06,02,2022,07:02:29,29.75,26.66,25.00,100.00,0.00
06,02,2022,07:02:30,29.75,26.66,25.00,100.00,0.00
06,02,2022,07:02:30,29.69,26.66,25.00,100.00,0.00
06,02,2022,07:02:31,29.69,26.66,25.00,100.00,0.00
06,02,2022,07:02:32,29.69,26.66,25.00,100.00,0.00
06,02,2022,07:02:33,29.69,26.66,25.00,100.00,0.00
06,02,2022,07:02:34,29.69,26.66,25.00,100.00,0.00
06,02,2022,07:02:35,29.62,26.66,25.00,100.00,0.00
06,02,2022,07:02:36,29.62,26.66,25.00,100.00,0.00
06,02,2022,07:02:37,29.62,26.66,25.00,100.00,0.00
06,02,2022,07:02:38,29.56,26.66,25.00,100.00,0.00
06,02,2022,07:02:39,29.56,26.66,25.00,100.00,0.00
06,02,2022,07:02:40,29.56,26.66,25.00,100.00,0.00
06,02,2022,07:02:41,29.44,26.66,25.0,098.96,0.00
06,02,2022,07:02:42,29.44,26.66,25.00,100.00,0.00
06,02,2022,07:02:43,29.44,26.66,25.00,100.00,0.00
06,02,2022,07:02:44,29.38,26.66,25.00,100.00,0.00
06,02,2022,07:02:45,29.38,26.66,25.00,100.00,0.00
06,02,2022,07:02:46,29.31,26.66,25.00,100.00,0.00
06,02,2022,07:02:47,29.31,26.66,25.00,100.00,0.00
06,02,2022,07:02:47,29.31,26.66,25.00,100.00,0.00
06,02,2022,07:02:48,29.25,26.66,25.00,100.00,0.00
06,02,2022,07:02:49,29.25,26.66,25.00,100.00,0.00
06,02,2022,07:02:50,29.25,26.66,25.00,100.00,0.00
06,02,2022,07:02:51,29.19,26.66,25.00,100.00,0.00
06,02,2022,07:02:52,29.19,26.66,25.00,100.00,0.00
06,02,2022,07:02:53,29.19,26.66,25.00,100.00,0.00
06,02,2022,07:02:54,29.12,26.66,25.00,100.00,0.00
06,02,2022,07:02:55,29.12,26.66,25.00,100.00,0.00
06,02,2022,07:02:56,29.12,26.66,25.00,100.00,0.00
06,02,2022,07:02:57,29.12,26.66,25.00,100.00,0.00
06,02,2022,07:02:58,29.12,26.66,25.00,100.00,0.00
06,02,2022,07:02:59,29.06,26.66,25.00,100.00,0.00
06,02,2022,07:03:00,29.06,26.66,25.00,100.00,0.00
06,02,2022,07:03:01,29.06,26.66,25.00,100.00,0.00
06,02,2022,07:03:02,29.00,26.66,25.00,100.00,0.00
06,02,2022,07:03:03,29.00,26.66,25.00,100.00,0.00
06,02,2022,07:03:04,29.00,26.66,25.00,100.00,0.00
06,02,2022,07:03:04,28.94,26.66,25.00,100.00,0.00
06,02,2022,07:03:05,28.94,26.66,25.00,100.00,0.00
06,02,2022,07:03:06,28.94,26.66,25.00,100.00,0.00
06,02,2022,07:03:07,28.88,26.66,25.00,100.00,0.00
06,02,2022,07:03:08,28.88,26.66,25.00,100.00,0.00
06,02,2022,07:03:09,28.88,26.66,25.00,100.00,0.00
06,02,2022,07:03:10,28.81,26.66,25.00,100.00,0.00
06,02,2022,07:03:11,28.81,26.66,25.00,100.00,0.00
06,02,2022,07:03:12,28.75,26.66,25.00,100.00,0.00
06,02,2022,07:03:13,28.75,26.66,25.00,100.00,0.00
06,02,2022,07:03:14,28.75,26.66,25.00,100.00,0.00
06,02,2022,07:03:15,28.69,26.66,25.00,100.00,0.00
06,02,2022,07:03:16,28.69,26.66,25.00,100.00,0.00
06,02,2022,07:03:17,28.69,26.66,25.00,100.00,0.00
06,02,2022,07:03:18,28.62,26.66,25.00,100.00,0.00
06,02,2022,07:03:19,28.62,26.66,25.00,100.00,0.00
06,02,2022,07:03:20,28.62,26.66,25.00,100.00,0.00
06,02,2022,07:03:21,28.62,26.66,25.00,100.00,0.00
06,02,2022,07:03:21,28.62,26.66,25.00,100.00,0.00
06,02,2022,07:03:22,28.56,26.66,38.00,0.00,100.00
06,02,2022,07:03:23,28.56,26.66,38.00,0.00,100.00
06,02,2022,07:03:24,28.56,26.66,38.00,0.00,100.00
06,02,2022,07:03:25,28.56,26.66,38.00,0.00,100.00
06,02,2022,07:03:26,28.56,26.66,38.00,0.00,100.00
06,02,2022,07:03:27,28.56,26.66,38.00,0.00,100.00
06,02,2022,07:03:28,28.69,26.66,38.00,0.00,100.00
06,02,2022,07:03:29,28.69,26.66,38.00,0.00,100.00
06,02,2022,07:03:30,28.69,26.66,38.00,0.00,100.00
06,02,2022,07:03:31,28.75,26.66,38.00,0.00,100.00
06,02,2022,07:03:32,28.75,26.66,38.00,0.00,100.00
06,02,2022,07:03:33,28.75,26.66,38.00,0.00,100.00
06,02,2022,07:03:34,29.00,26.66,38.00,0.00,100.00
06,02,2022,07:03:35,29.00,26.66,38.00,0.00,100.00
06,02,2022,07:03:36,29.25,26.66,38.00,0.00,100.00
06,02,2022,07:03:37,29.25,26.66,38.00,0.00,100.00
06,02,2022,07:03:38,29.25,26.66,38.00,0.00,100.00
06,02,2022,07:03:38,29.56,26.66,38.00,0.00,100.00
06,02,2022,07:03:39,29.56,26.66,38.00,0.00,100.00
06,02,2022,07:03:40,29.56,26.66,38.00,0.00,100.00
06,02,2022,07:03:41,29.88,26.66,38.00,0.00,100.00
06,02,2022,07:03:42,29.88,26.66,38.00,0.00,100.00
06,02,2022,07:03:43,29.88,26.66,38.00,0.00,100.00
06,02,2022,07:03:44,30.31,26.66,38.0,00.00,75.62
06,02,2022,07:03:45,30.31,26.66,38.00,0.00,100.00
06,02,2022,07:03:46,30.31,26.66,38.00,0.00,100.00
06,02,2022,07:03:47,30.69,26.66,38.0,00.00,89.38
06,02,2022,07:03:48,30.69,26.66,38.00,0.00,100.00
06,02,2022,07:03:49,31.19,26.66,38.0,00.00,24.38
06,02,2022,07:03:50,31.19,26.66,38.00,0.00,100.00
06,02,2022,07:03:51,31.19,26.66,38.00,0.00,100.00
06,02,2022,07:03:52,31.69,26.66,38.,000.00,9.38
06,02,2022,07:03:53,31.69,26.66,38.00,0.00,100.00
06,02,2022,07:03:54,31.69,26.66,38.00,0.00,100.00
06,02,2022,07:03:55,32.19,26.66,38.0,040.00,0.00
06,02,2022,07:03:55,32.19,26.66,38.00,0.00,100.00
06,02,2022,07:03:56,32.19,26.66,38.00,0.00,100.00
06,02,2022,07:03:57,32.69,26.66,38.0,040.00,0.00
06,02,2022,07:03:58,32.69,26.66,38.00,0.00,100.00
06,02,2022,07:03:59,32.69,26.66,38.00,0.00,100.00
06,02,2022,07:04:00,33.25,26.66,38.0,062.50,0.00
06,02,2022,07:04:01,33.25,26.66,38.00,0.00,100.00
06,02,2022,07:04:02,33.81,26.66,38.0,079.38,0.00
06,02,2022,07:04:03,33.81,26.66,38.00,0.00,100.00
06,02,2022,07:04:04,33.81,26.66,38.00,0.00,100.00
06,02,2022,07:04:05,34.25,26.66,38.0,042.50,0.00
06,02,2022,07:04:06,34.25,26.66,38.00,0.00,100.00
06,02,2022,07:04:07,34.25,26.66,38.00,0.00,100.00
06,02,2022,07:04:08,34.75,26.66,38.0,082.50,0.00
06,02,2022,07:04:09,34.75,26.66,38.00,0.00,100.00
06,02,2022,07:04:10,34.75,26.66,38.00,0.00,100.00
06,02,2022,07:04:11,35.31,26.66,38.00,100.00,0.00
06,02,2022,07:04:12,35.31,26.66,38.00,0.00,100.00
06,02,2022,07:04:12,35.81,26.66,38.00,100.00,0.00
06,02,2022,07:04:13,35.81,26.66,38.0,00.00,85.62
06,02,2022,07:04:14,35.81,26.66,38.0,00.00,85.62
06,02,2022,07:04:15,36.25,26.66,38.00,100.00,0.00
06,02,2022,07:04:16,36.25,26.66,38.0,00.00,72.50
06,02,2022,07:04:17,36.25,26.66,38.0,00.00,72.50
06,02,2022,07:04:18,36.69,26.66,38.00,100.00,0.00
06,02,2022,07:04:19,36.69,26.66,46.00,0.00,100.00
06,02,2022,07:04:20,36.69,26.66,46.00,0.00,100.00
06,02,2022,07:04:21,37.12,26.66,46.00,0.00,100.00
06,02,2022,07:04:22,37.12,26.66,46.00,0.00,100.00
06,02,2022,07:04:23,37.12,26.66,46.00,0.00,100.00
06,02,2022,07:04:24,37.62,26.66,46.0,00.00,71.25
06,02,2022,07:04:25,37.62,26.66,46.00,0.00,100.00
06,02,2022,07:04:26,38.19,26.66,46.0,00.00,29.38
06,02,2022,07:04:27,38.19,26.66,46.00,0.00,100.00
06,02,2022,07:04:28,38.19,26.66,46.00,0.00,100.00
06,02,2022,07:04:29,38.81,26.66,46.0,040.00,0.00
06,02,2022,07:04:29,38.81,26.66,46.00,0.00,100.00
06,02,2022,07:04:30,38.81,26.66,46.00,0.00,100.00
06,02,2022,07:04:31,39.44,26.66,46.0,040.00,0.00
