dia,mes,ano,horario,temperatureInterna,temperatureExterna,temperatureReferencia,acionamentoVentoinha,acionamentoResistor
06,02,2022,07:21:10,29.50,27.47,51.00,0.00,100.00
06,02,2022,07:21:11,29.50,27.47,51.00,0.00,100.00
06,02,2022,07:21:12,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:21:13,29.50,27.47,51.00,0.00,100.00
06,02,2022,07:21:14,29.50,27.47,51.00,0.00,100.00
06,02,2022,07:21:15,29.50,27.47,51.00,0.00,100.00
06,02,2022,07:21:16,29.50,27.47,51.00,0.00,100.00
06,02,2022,07:21:17,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:21:18,29.62,27.47,51.00,0.00,100.00
06,02,2022,07:21:19,29.62,27.47,51.00,0.00,100.00
06,02,2022,07:21:21,29.75,27.47,-163.00,100.00,0.00
06,02,2022,07:21:22,29.75,27.47,51.00,0.00,100.00
06,02,2022,07:21:23,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:21:24,29.88,27.47,51.00,0.00,100.00
06,02,2022,07:21:25,29.88,27.47,51.00,0.00,100.00
06,02,2022,07:21:26,30.06,27.47,51.00,0.00,100.00
06,02,2022,07:21:27,30.06,27.47,51.00,0.00,100.00
06,02,2022,07:21:28,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:21:29,30.25,27.47,51.00,0.00,100.00
06,02,2022,07:21:30,30.25,27.47,51.00,0.00,100.00
06,02,2022,07:21:31,30.50,27.47,51.00,0.00,100.00
06,02,2022,07:21:32,30.50,27.47,51.00,0.00,100.00
06,02,2022,07:21:33,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:21:34,30.81,27.47,51.00,0.00,100.00
06,02,2022,07:21:35,30.81,27.47,51.00,0.00,100.00
06,02,2022,07:21:36,31.06,27.47,51.00,0.00,100.00
06,02,2022,07:21:37,31.06,27.47,51.00,0.00,100.00
06,02,2022,07:21:38,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:21:39,31.44,27.47,51.00,0.00,100.00
06,02,2022,07:21:40,31.44,27.47,51.00,0.00,100.00
06,02,2022,07:21:41,31.81,27.47,51.00,0.00,100.00
06,02,2022,07:21:42,31.81,27.47,51.00,0.00,100.00
06,02,2022,07:21:44,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:21:45,32.25,27.47,51.00,0.00,100.00
06,02,2022,07:21:46,32.25,27.47,51.00,0.00,100.00
06,02,2022,07:21:47,32.62,27.47,51.00,0.00,100.00
06,02,2022,07:21:48,32.62,27.47,51.00,0.00,100.00
06,02,2022,07:21:49,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:21:50,33.06,27.47,51.00,0.00,100.00
06,02,2022,07:21:51,33.06,27.47,51.00,0.00,100.00
06,02,2022,07:21:52,33.56,27.47,-163.00,100.00,0.00
06,02,2022,07:21:53,33.56,27.47,51.00,0.00,100.00
06,02,2022,07:21:54,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:21:55,34.00,27.47,51.00,0.00,100.00
06,02,2022,07:21:56,34.00,27.47,51.00,0.00,100.00
06,02,2022,07:21:57,34.38,27.47,51.00,0.00,100.00
06,02,2022,07:21:58,34.38,27.47,51.00,0.00,100.00
06,02,2022,07:21:59,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:00,34.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:01,34.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:02,35.38,27.47,51.00,0.00,100.00
06,02,2022,07:22:03,35.38,27.47,51.00,0.00,100.00
06,02,2022,07:22:04,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:05,35.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:06,35.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:08,36.44,27.47,-204.00,100.00,0.00
06,02,2022,07:22:09,36.44,27.47,51.00,0.00,100.00
06,02,2022,07:22:10,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:11,36.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:12,36.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:13,37.38,27.47,51.00,0.00,100.00
06,02,2022,07:22:14,37.38,27.47,51.00,0.00,100.00
06,02,2022,07:22:15,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:16,37.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:17,37.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:18,38.44,27.47,-163.00,100.00,0.00
06,02,2022,07:22:19,38.44,27.47,51.00,0.00,100.00
06,02,2022,07:22:20,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:21,38.94,27.47,51.00,0.00,100.00
06,02,2022,07:22:22,38.94,27.47,51.00,0.00,100.00
06,02,2022,07:22:23,39.38,27.47,-163.00,100.00,0.00
06,02,2022,07:22:24,39.38,27.47,51.00,0.00,100.00
06,02,2022,07:22:25,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:26,39.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:27,39.88,27.47,51.00,0.00,100.00
06,02,2022,07:22:28,40.31,27.47,-163.00,100.00,0.00
06,02,2022,07:22:30,40.31,27.47,51.00,0.00,100.00
06,02,2022,07:22:31,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:32,40.81,27.47,51.00,0.00,100.00
06,02,2022,07:22:33,40.81,27.47,51.00,0.00,100.00
06,02,2022,07:22:34,41.25,27.47,-163.00,100.00,0.00
06,02,2022,07:22:35,41.25,27.47,51.00,0.00,100.00
06,02,2022,07:22:36,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:37,41.69,27.47,51.00,0.00,100.00
06,02,2022,07:22:38,41.69,27.47,51.00,0.00,100.00
06,02,2022,07:22:39,42.12,27.47,-163.00,100.00,0.00
06,02,2022,07:22:40,42.12,27.47,51.00,0.00,100.00
06,02,2022,07:22:41,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:42,42.56,27.47,51.00,0.00,100.00
06,02,2022,07:22:43,42.56,27.47,51.00,0.00,100.00
06,02,2022,07:22:44,42.94,27.47,-163.00,100.00,0.00
06,02,2022,07:22:45,42.94,27.47,51.00,0.00,100.00
06,02,2022,07:22:46,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:47,43.44,27.47,51.00,0.00,100.00
06,02,2022,07:22:48,43.44,27.47,51.00,0.00,100.00
06,02,2022,07:22:49,43.81,27.47,51.0,00.00,51.70
06,02,2022,07:22:50,43.81,27.47,51.00,0.00,100.00
06,02,2022,07:22:51,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:53,44.31,27.47,51.00,0.00,100.00
06,02,2022,07:22:54,44.31,27.47,51.00,0.00,100.00
06,02,2022,07:22:55,44.81,27.47,-163.00,100.00,0.00
06,02,2022,07:22:56,44.81,27.47,51.00,0.00,100.00
06,02,2022,07:22:57,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:22:58,45.25,27.47,51.00,0.00,100.00
06,02,2022,07:22:59,45.25,27.47,51.00,0.00,100.00
06,02,2022,07:23:00,45.56,27.47,-163.00,100.00,0.00
06,02,2022,07:23:01,45.56,27.47,51.00,0.00,100.00
06,02,2022,07:23:02,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:23:03,46.06,27.47,51.00,0.00,100.00
06,02,2022,07:23:04,46.06,27.47,51.00,0.00,100.00
06,02,2022,07:23:05,46.38,27.47,-163.00,100.00,0.00
06,02,2022,07:23:06,46.38,27.47,51.00,0.00,100.00
06,02,2022,07:23:07,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:23:08,46.81,27.47,51.00,0.00,100.00
06,02,2022,07:23:09,46.81,27.47,51.00,0.00,100.00
06,02,2022,07:23:10,47.12,27.47,-163.00,100.00,0.00
06,02,2022,07:23:11,47.12,27.47,51.00,0.00,100.00
06,02,2022,07:23:12,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:23:13,47.56,27.47,51.00,0.00,100.00
06,02,2022,07:23:14,47.56,27.47,51.0,00.00,85.28
06,02,2022,07:23:16,47.88,27.47,-163.00,100.00,0.00
06,02,2022,07:23:17,47.88,27.47,51.00,0.00,100.00
06,02,2022,07:23:18,51.00,27.47,51.00,100.00,0.00
06,02,2022,07:23:19,48.25,27.47,51.00,0.00,100.00
06,02,2022,07:23:20,48.25,27.47,51.0,00.00,64.22
06,02,2022,07:23:21,48.56,27.47,-163.00,100.00,0.00
